timestamp,BTC,Long ATM Call,Long 10D Call,Long 25D Call,Long ATM Put,Long 10D Put,Long 25D Put,Short ATM Call,Short 10D Call,Short 25D Call,Short ATM Put,Short 10D Put,Short 25D Put,pjp,njp,lambda_p_right,lambda_m_right,is_pos_jump,is_neg_jump,weekday
2019-01-01,,,,,,,,,,,,,,,,43.64564636444133,55.004942268029176,,,1
2019-01-02,,,,,,,,,,,,,,,,40.64359167673681,52.72003747497395,,,2
2019-01-03,,,,,,,,,,,,,,,,37.87948380445652,50.54740192432685,,,3
2019-01-04,,,,,,,,,,,,,,,,35.3344627690648,48.4815192449766,,,4
2019-01-07,,,,,,,,,,,,,,,,39.853153062746586,49.60369959520263,,,0
2019-01-08,,,,,,,,,,,,,,,,37.15169639790633,47.58418591375165,,,1
2019-01-09,,,,,,,,,,,,,,,,34.66436075259209,45.663901430706574,,,2
2019-01-10,,,,,,,,,,,,,,,,32.37417461228743,43.83797050006077,,,3
2019-01-11,,,,,,,,,,,,,,,,38.84134558776492,50.79758284679768,,,4
2019-01-14,,,,,,,,,,,,,,,,31.58439294443667,44.8643741279541,,,0
2019-01-15,,,,,,,,,,,,,,,,29.53832911628043,43.07772812718248,,,1
2019-01-16,,,,,,,,,,,,,,,,27.65443900669717,41.378869325933486,,,2
2019-01-17,,,,,,,,,,,,,,,,25.919868512782084,39.7634842830455,,,3
2019-01-18,,,,,,,,,,,,,,,,24.32278236478702,38.22747149913002,,,4
2019-01-21,,,,,,,,,,,,,,,,20.25170825829794,34.057615700755946,,,0
2019-01-22,,,,,,,,,,,,,,,,19.103887970578583,32.801961881887514,,,1
2019-01-23,,,,,,,,,,,,,,,,18.047045433284715,31.608004858176272,,,2
2019-01-24,,,,,,,,,,,,,,,,17.07396962988262,30.47271314556549,,,3
2019-01-25,,,,,,,,,,,,,,,,16.17802109852331,29.393204212558665,,,4
2019-01-28,,,,,,,,,,,,,,,,13.894191343100587,26.462631869129677,,,0
2019-01-29,,,,,,,,,,,,,,,,13.250276234114398,25.58015906133357,,,1
2019-01-30,,,,,,,,,,,,,,,,12.657398686240526,24.741046726970566,,,2
2019-01-31,,,,,,,,,,,,,,,,12.111513395046938,23.943164340726312,,,3
2019-02-01,,,,,,,,,,,,,,,,11.608895692268112,23.18448606106297,,,4
2019-02-04,,,,,,,,,,,,,,,,10.327691220101958,21.12488144274051,,,0
2019-02-05,,,,,,,,,,,,,,,,9.966461616463686,20.50468004264316,,,1
2019-02-06,,,,,,,,,,,,,,,,9.633863547811956,19.91495235923668,,,2
2019-02-07,,,,,,,,,,,,,,,,9.327627640907671,19.35420106051125,,,3
2019-02-08,,,,,,,,,,,,,,,,9.045664396028696,18.82100238615697,,,4
2019-02-11,,,,,,,,,,,,,,,,19.408509806886773,24.60086959671673,,,0
2019-02-12,,,,,,,,,,,,,,,,18.327522540932748,23.80987484109264,,,1
2019-02-13,,,,,,,,,,,,,,,,17.33221575192021,23.057745766976176,,,2
2019-02-14,,,,,,,,,,,,,,,,16.415798292201107,22.34257270153044,,,3
2019-02-15,,,,,,,,,,,,,,,,15.57201728944997,21.662539804065474,,,4
2019-02-18,,,,,,,,,,,,,,,,13.421165880363583,19.81643594980523,,,0
2019-02-19,,,,,,,,,,,,,,,,25.384207988746468,26.947040353751404,,,1
2019-02-20,,,,,,,,,,,,,,,,23.829579000630787,26.04076604063657,,,2
2019-02-21,,,,,,,,,,,,,,,,22.39817195727294,25.179021692558614,,,3
2019-02-22,,,,,,,,,,,,,,,,21.080220124753364,24.359619321004867,,,4
2019-02-25,,,,,,,,,,,,,,,,25.7806556210601,30.30791793178008,,,0
2019-02-26,,,,,,,,,,,,,,,,24.1946036705388,29.23650624372629,,,1
2019-02-27,,,,,,,,,,,,,,,,22.73426429023448,28.21773857781742,,,2
2019-02-28,,,,,,,,,,,,,,,,21.389673335968027,27.249028259763385,,,3
2019-03-01,,,,,,,,,,,,,,,,20.151656434774534,26.327915712019557,,,4
2019-03-04,,,,,,,,,,,,,,,,16.995872661825395,23.827346355836337,,,0
2019-03-05,,,,,,,,,,,,,,,,16.1061141991944,23.07435881543719,,,1
2019-03-06,,,,,,,,,,,,,,,,15.286879166248728,22.35836946461702,,,2
2019-03-07,,,,,,,,,,,,,,,,14.532577782903456,21.677560390118508,,,3
2019-03-08,,,,,,,,,,,,,,,,13.838063322418684,21.03020300220694,,,4
2019-03-11,,,,,,,,,,,,,,,,12.067701817366968,19.272804244937294,,,0
2019-03-12,,,,,,,,,,,,,,,,11.568556678039547,18.74360501898308,,,1
2019-03-13,,,,,,,,,,,,,,,,11.108974441021562,18.24040810015398,,,2
